"","vendors","id","price","size","cost_per_size"
"8450","Metro",73988,27.29,551.81,0.05
"8451","T&T",89057,7.22,957.28,0.01
"8452","No Frills",3355,38.7,286.28,0.14
"8453","T&T",42486,6.7,997.08,0.01
"8454","Walmart",24698,14.9,383.45,0.04
"8455","Loblaws",43861,18.95,186.3,0.1
"8456","Loblaws",74506,38.22,576.65,0.07
"8457","Voila",96137,15.33,481.22,0.03
"8458","Galleria",85278,17.34,594.04,0.03
"8459","No Frills",7441,43.73,816.77,0.05
"8460","Save-On-Foods",9492,12.61,379.68,0.03
"8461","Voila",20390,31.35,73.97,0.42
"8462","Save-On-Foods",33668,30.3,679.43,0.04
"8463","Galleria",36995,37.08,841,0.04
"8464","Save-On-Foods",53706,5.23,360.31,0.01
"8465","Save-On-Foods",41721,39.12,147.39,0.27
"8466","No Frills",25384,19.69,794.48,0.02
"8467","Loblaws",70821,6.16,957,0.01
"8468","Galleria",29891,25.31,717.49,0.04
"8469","Loblaws",34963,36.92,391.85,0.09
"8470","Metro",10735,48.13,981.88,0.05
"8471","Galleria",8842,40.31,153.21,0.26
"8472","Voila",95580,26.09,17.1,1.53
"8473","Loblaws",3073,0.46,331.54,0
"8474","T&T",51621,24.6,846.67,0.03
"8475","Metro",90891,39.21,23.35,1.68
"8476","Galleria",37902,44.01,513.52,0.09
"8477","Galleria",19734,26.84,449.48,0.06
"8478","Loblaws",991,18.22,835.27,0.02
"8479","No Frills",75869,9.4,379.96,0.02
"8480","No Frills",91020,4.29,904.55,0
"8481","T&T",38573,45.25,123.26,0.37
"8482","Voila",91495,36.02,758.64,0.05
"8483","Loblaws",93953,40.84,336.87,0.12
"8484","Loblaws",24841,31.38,585.83,0.05
"8485","T&T",97665,13.14,645.81,0.02
"8486","Metro",79363,36.69,73,0.5
"8487","Galleria",7349,10.19,305.02,0.03
"8488","Walmart",44376,3.74,953.01,0
"8489","Walmart",88971,14.67,129.19,0.11
"8490","Loblaws",81656,20.61,504.29,0.04
"8491","Galleria",89145,1.48,236.37,0.01
"8492","No Frills",35438,39.45,645.14,0.06
"8493","No Frills",23646,47.26,745.21,0.06
"8494","No Frills",96505,42.47,488.44,0.09
"8495","Metro",33430,44.24,288.65,0.15
"8496","Galleria",73151,38.69,79.93,0.48
"8497","Voila",77116,17.47,570.94,0.03
"8498","T&T",5603,5.87,658.25,0.01
"8499","Walmart",74809,33.32,523.41,0.06
"8500","No Frills",58303,6.64,408.63,0.02
"8501","Loblaws",42344,1.09,599.87,0
"8502","Metro",22081,6.26,198.73,0.03
"8503","Walmart",92334,1.26,858.15,0
"8504","Walmart",3185,9.34,658.7,0.01
"8505","Save-On-Foods",76987,12.68,854.97,0.01
"8506","No Frills",46387,30.91,290.34,0.11
"8507","Save-On-Foods",16531,19.34,999.6,0.02
"8508","T&T",52235,34.71,361.91,0.1
"8509","No Frills",79942,38.28,213.59,0.18
"8510","Galleria",30378,0.52,761.31,0
"8511","Galleria",77539,15.57,360.35,0.04
"8512","Loblaws",37639,15.39,435.49,0.04
"8513","Loblaws",59155,46.63,537.22,0.09
"8514","No Frills",32368,44.43,873.21,0.05
"8515","T&T",68622,40.95,312.29,0.13
"8516","No Frills",21277,28.42,914.79,0.03
"8517","Loblaws",32309,16.73,313.16,0.05
"8518","Galleria",17479,23.57,279.78,0.08
"8519","No Frills",19613,1.98,585.43,0
"8520","Voila",22622,7.78,701.9,0.01
"8521","Walmart",85916,34.34,441.94,0.08
"8522","No Frills",13967,45.23,935.85,0.05
"8523","Save-On-Foods",30292,29.92,321.04,0.09
"8524","Loblaws",71242,22.24,731.24,0.03
"8525","T&T",30743,28.45,427.85,0.07
"8526","Loblaws",39920,26.55,131.16,0.2
"8527","Galleria",56549,13.93,49.88,0.28
"8528","Metro",42549,38.29,735.57,0.05
"8529","Metro",55590,24.69,808.6,0.03
"8530","Loblaws",41499,26.13,955.84,0.03
"8531","T&T",35122,18.04,975.01,0.02
"8532","T&T",74357,49.34,290.79,0.17
"8533","T&T",53655,37.34,128.42,0.29
"8534","Metro",83011,31.08,677.49,0.05
"8535","Loblaws",74471,34.85,678.56,0.05
"8536","Walmart",18850,32.84,140.06,0.23
"8537","Loblaws",25753,24.77,757.91,0.03
"8538","Loblaws",25866,15.11,690.69,0.02
"8539","T&T",41558,18.5,237.34,0.08
"8540","Galleria",58689,6.74,278.31,0.02
"8541","T&T",71084,32.44,856.11,0.04
"8542","T&T",68592,37.22,538.47,0.07
"8543","Walmart",55993,22.55,863.7,0.03
"8544","Galleria",65425,23.23,631.2,0.04
"8545","Galleria",80160,10.92,262.45,0.04
"8546","No Frills",98799,25.73,802.99,0.03
"8547","No Frills",38094,20.41,302.64,0.07
"8548","Voila",62511,39.19,231.01,0.17
"8549","Voila",71894,1.38,622.92,0
"8550","Voila",78310,49.76,169.52,0.29
"8551","Save-On-Foods",48061,18.56,449.18,0.04
"8552","T&T",95143,30.54,173.35,0.18
"8553","No Frills",6260,39.81,47.35,0.84
"8554","Walmart",26155,41.24,835.46,0.05
"8555","Loblaws",5508,6.94,663.3,0.01
"8556","Metro",89094,13.45,696.62,0.02
"8557","Save-On-Foods",21310,42.76,614.05,0.07
"8558","Galleria",55984,5.83,789.26,0.01
"8559","Metro",85008,27.48,701.09,0.04
"8560","Walmart",18478,20.12,710.8,0.03
"8561","No Frills",71524,34.3,535.03,0.06
"8562","Walmart",94264,33.57,667.82,0.05
"8563","Loblaws",9054,22.19,761.14,0.03
"8564","Loblaws",12719,30.83,908.16,0.03
"8565","No Frills",30642,21.1,731.99,0.03
"8566","T&T",44181,45.73,233.26,0.2
"8567","T&T",19233,1.85,851.42,0
"8568","Galleria",57277,28.27,641.77,0.04
"8569","T&T",35949,9.27,194.27,0.05
"8570","T&T",13185,3.78,595.79,0.01
"8571","T&T",82823,22.92,431.01,0.05
"8572","Voila",48403,14.34,59.05,0.24
"8573","Metro",98162,32.96,448.27,0.07
"8574","Loblaws",63840,40.85,2.46,16.61
"8575","T&T",77900,28.59,652.58,0.04
"8576","Loblaws",38922,23.68,695.53,0.03
"8577","Save-On-Foods",22551,12.92,955.95,0.01
"8578","Loblaws",37926,2.52,418.69,0.01
"8579","Loblaws",76571,44.02,167.91,0.26
"8580","Loblaws",15688,42.1,873.58,0.05
"8581","Metro",79732,39.21,605.75,0.06
"8582","Galleria",2838,16.59,918.32,0.02
"8583","Galleria",32831,15.28,193.89,0.08
"8584","Save-On-Foods",65180,19.11,42.88,0.45
"8585","Loblaws",23527,31.37,771.69,0.04
"8586","Loblaws",79976,29.98,579.81,0.05
"8587","No Frills",99357,11.11,581.45,0.02
"8588","Galleria",28226,13.87,929.88,0.01
"8589","Loblaws",66344,44.06,999.08,0.04
"8590","Loblaws",45231,11.55,675.2,0.02
"8591","Metro",76105,7.72,752.91,0.01
"8592","T&T",44938,19.3,539.48,0.04
"8593","Voila",47430,18.48,5.94,3.11
"8594","No Frills",77853,35.44,430.17,0.08
"8595","Metro",81072,49.09,519.36,0.09
"8596","Metro",24151,20.22,953.16,0.02
"8597","Loblaws",10091,32.98,998.53,0.03
"8598","Voila",44355,37.6,707.29,0.05
"8599","Galleria",73637,15.75,343.46,0.05
"8600","Voila",1367,46.92,708.02,0.07
"8601","Metro",64212,18.43,919.15,0.02
"8602","No Frills",937,45.44,171.24,0.27
"8603","Save-On-Foods",6526,11.24,561.95,0.02
"8604","Voila",29394,2.69,102.53,0.03
"8605","Galleria",56077,46.72,726.94,0.06
"8606","Save-On-Foods",96098,17.46,763.91,0.02
"8607","No Frills",61955,28.36,666.94,0.04
"8608","Loblaws",50286,10.7,100.42,0.11
"8609","Save-On-Foods",43290,29.89,890.9,0.03
"8610","Galleria",95808,37.67,700.8,0.05
"8611","Metro",10560,47.16,526.44,0.09
"8612","Walmart",90447,37.56,344.47,0.11
"8613","Galleria",91264,38.5,699.74,0.06
"8614","Voila",68803,47.32,988.85,0.05
"8615","Loblaws",87512,4.02,708.44,0.01
"8616","No Frills",92945,42.25,519.65,0.08
"8617","Galleria",52991,8.04,823.39,0.01
"8618","Loblaws",47294,22.65,28.54,0.79
"8619","Loblaws",23822,12,299.03,0.04
"8620","Loblaws",60283,10.98,723.15,0.02
"8621","Loblaws",23563,15.66,808.32,0.02
"8622","Walmart",64397,1.92,141.44,0.01
"8623","Loblaws",99117,7.23,664.79,0.01
"8624","Metro",94366,40.68,695.65,0.06
"8625","Metro",57864,23.48,323.31,0.07
"8626","T&T",60912,3.69,555.08,0.01
"8627","Loblaws",60372,48.2,641.68,0.08
"8628","T&T",61256,13.95,452.36,0.03
"8629","Voila",87743,28,595.05,0.05
"8630","Loblaws",18696,0.47,172.64,0
"8631","Save-On-Foods",23092,5.17,181.55,0.03
"8632","Voila",83374,6.77,463.99,0.01
"8633","T&T",10368,27.5,83.09,0.33
"8634","T&T",12815,22.93,669.56,0.03
"8635","T&T",22474,47.78,853.68,0.06
"8636","Galleria",95201,3,379.83,0.01
"8637","T&T",86902,8.95,103.9,0.09
"8638","Loblaws",45769,26.71,929.5,0.03
"8639","Galleria",84560,16.59,614.64,0.03
"8640","Loblaws",55897,35.87,615.1,0.06
"8641","Voila",94883,40.46,658.38,0.06
"8642","Walmart",62821,8.34,88.59,0.09
"8643","Voila",51855,12.12,982.26,0.01
"8644","T&T",80947,27.31,164.82,0.17
"8645","Save-On-Foods",76688,41.74,823.73,0.05
"8646","Galleria",85257,6.95,453.66,0.02
"8647","Galleria",70963,46.12,776.25,0.06
"8648","Loblaws",2072,4.55,378.94,0.01
"8649","Walmart",70911,26.49,53.22,0.5
"8650","Save-On-Foods",54852,22.05,420.1,0.05
"8651","Galleria",38628,49.88,537.95,0.09
"8652","Voila",94302,6.13,893.73,0.01
"8653","Loblaws",93535,34.35,496.36,0.07
"8654","Metro",35061,13.49,527.13,0.03
"8655","No Frills",67705,17.23,599.23,0.03
"8656","Metro",35592,7.08,540.15,0.01
"8657","Metro",32820,34.38,699.51,0.05
"8658","Loblaws",93197,48.49,498.61,0.1
"8659","Loblaws",68977,16.91,401.98,0.04
"8660","Voila",67156,26.41,199.86,0.13
"8661","T&T",90346,21.08,705.19,0.03
"8662","No Frills",60193,42.67,425.84,0.1
"8663","Walmart",82482,28.15,866.02,0.03
"8664","Voila",49531,33.73,957.22,0.04
"8665","Metro",22108,0.96,846.03,0
"8666","Metro",41116,33.96,861.11,0.04
"8667","Save-On-Foods",94226,24.35,351.11,0.07
"8668","Metro",77732,4.27,396.01,0.01
"8669","Save-On-Foods",28654,30.66,842.81,0.04
"8670","No Frills",71095,38.48,288.74,0.13
"8671","T&T",16830,26.24,563.58,0.05
"8672","Walmart",90130,32.78,947.71,0.03
"8673","Galleria",96256,30.78,561.25,0.05
"8674","Save-On-Foods",62006,49.19,521.17,0.09
"8675","T&T",19248,34.15,647.72,0.05
"8676","Loblaws",22602,33.08,19.07,1.73
"8677","Galleria",54295,39.03,689.54,0.06
"8678","Save-On-Foods",30020,24.42,509.36,0.05
"8679","Voila",35862,33.38,135.12,0.25
"8680","Galleria",62382,48.59,676.58,0.07
"8681","No Frills",74721,25.54,885.29,0.03
"8682","T&T",59991,38.26,869.68,0.04
"8683","Loblaws",85046,26.64,155.49,0.17
"8684","Save-On-Foods",82318,22.68,297.43,0.08
"8685","Voila",43717,19.22,965.13,0.02
"8686","Voila",29454,22.08,549.88,0.04
"8687","No Frills",78606,10.35,69.6,0.15
"8688","Loblaws",55176,27.98,372.94,0.08
"8689","Voila",18443,5.22,73.11,0.07
"8690","T&T",25104,41.75,318.47,0.13
"8691","Galleria",97493,28.14,831.37,0.03
"8692","Walmart",87191,48.96,921.29,0.05
"8693","Walmart",61454,25.32,708.83,0.04
"8694","Galleria",59834,9.07,403.22,0.02
"8695","Walmart",53930,15.92,768.07,0.02
"8696","Metro",36459,25.02,151.85,0.16
"8697","Metro",37077,36.01,995.74,0.04
"8698","T&T",82737,11.35,589.43,0.02
"8699","T&T",29583,4.9,947.26,0.01
"8700","Voila",45368,26.4,254.51,0.1
"8701","Save-On-Foods",96066,46.97,915.38,0.05
"8702","Galleria",14261,23.51,200.8,0.12
"8703","Loblaws",84130,39.55,453.14,0.09
"8704","Voila",91461,20.93,302.69,0.07
"8705","Save-On-Foods",57279,20.89,387.23,0.05
"8706","Metro",45699,39.71,353.65,0.11
"8707","Walmart",44939,12.29,576.84,0.02
"8708","Walmart",59041,26.63,310.63,0.09
"8709","Loblaws",81871,4.3,479.41,0.01
"8710","T&T",38116,19.32,838.39,0.02
"8711","Walmart",62330,42.08,574.46,0.07
"8712","T&T",72618,10.44,595.79,0.02
"8713","Save-On-Foods",48220,38.42,133.39,0.29
"8714","Save-On-Foods",13868,24.49,729.98,0.03
"8715","Voila",46729,19.29,678.42,0.03
"8716","Galleria",38736,32.95,92.81,0.36
"8717","Metro",98154,30.17,786.28,0.04
"8718","No Frills",90206,40.01,469.76,0.09
"8719","Voila",14952,29.65,64.39,0.46
"8720","No Frills",70193,3.81,873.54,0
"8721","T&T",91787,33,985.48,0.03
"8722","Metro",6392,42.42,564.99,0.08
"8723","Save-On-Foods",34899,44.51,212.17,0.21
"8724","Walmart",54466,37.22,300.12,0.12
"8725","Save-On-Foods",38309,44.4,221.65,0.2
"8726","Galleria",60849,28.97,935.25,0.03
"8727","Walmart",77110,46.72,355.94,0.13
"8728","Galleria",84118,28.73,879.21,0.03
"8729","T&T",13556,27.51,603.89,0.05
"8730","Voila",56094,34.77,879.56,0.04
"8731","No Frills",39399,26.1,432.59,0.06
"8732","Loblaws",47275,18.76,797.95,0.02
"8733","Loblaws",98118,34.72,415.76,0.08
"8734","Metro",42359,19.54,215.66,0.09
"8735","Save-On-Foods",83348,3.8,467.44,0.01
"8736","Galleria",52392,29.62,818.86,0.04
"8737","Walmart",2927,41.99,815.15,0.05
"8738","Galleria",69821,38.6,609.43,0.06
"8739","Galleria",89334,41.98,95.75,0.44
"8740","Loblaws",96885,8.91,587,0.02
"8741","Voila",12365,19.55,513.45,0.04
"8742","Metro",78465,13.42,828.41,0.02
"8743","Loblaws",37148,30.69,662.81,0.05
"8744","Loblaws",63279,21.54,12.88,1.67
"8745","Metro",90594,10.88,41.6,0.26
"8746","No Frills",13555,15.61,689.01,0.02
"8747","Save-On-Foods",21997,40.54,728.34,0.06
"8748","Galleria",92037,17.85,45.61,0.39
"8749","Loblaws",4242,43.91,671.22,0.07
"8750","Save-On-Foods",5775,33.07,410.87,0.08
"8751","Walmart",44785,16.95,915.85,0.02
"8752","Walmart",89490,35.28,913.02,0.04
"8753","Loblaws",87381,30.85,420.77,0.07
"8754","Loblaws",20480,48.65,97.46,0.5
"8755","Walmart",84728,18.12,282.67,0.06
"8756","Galleria",7108,22.25,376.95,0.06
"8757","T&T",2762,36.08,882.68,0.04
"8758","T&T",55300,27.25,639.89,0.04
"8759","T&T",12589,40.77,12,3.4
"8760","Voila",40440,14.55,450.91,0.03
"8761","Walmart",76965,22.93,423.95,0.05
"8762","Metro",9290,24.46,431.22,0.06
"8763","Save-On-Foods",6661,9.84,548.06,0.02
"8764","Save-On-Foods",16812,26.22,573.25,0.05
"8765","Walmart",44638,1.76,647.98,0
"8766","Metro",37385,17.74,859.41,0.02
"8767","Galleria",92544,44.57,66.65,0.67
"8768","T&T",74505,21.84,875.96,0.02
"8769","Loblaws",57244,13.09,503.69,0.03
"8770","Loblaws",42851,4.93,165.55,0.03
"8771","T&T",47181,38.08,867.09,0.04
"8772","Galleria",25776,28.28,530.2,0.05
"8773","Galleria",17644,48.82,773.86,0.06
"8774","Galleria",21866,4.2,677.85,0.01
"8775","T&T",38248,21.22,426,0.05
"8776","Walmart",81938,47.39,990.78,0.05
"8777","Loblaws",11534,7.14,426.89,0.02
"8778","No Frills",51533,32.93,567.83,0.06
"8779","Walmart",805,48.51,485.43,0.1
"8780","Voila",78898,9.42,259.79,0.04
"8781","No Frills",2801,24.87,157.96,0.16
"8782","Galleria",57613,21.87,668.19,0.03
"8783","T&T",67013,20.72,149.38,0.14
"8784","Metro",94011,1.54,157.01,0.01
"8785","T&T",38130,34.27,744.36,0.05
"8786","Walmart",36542,22.4,289.69,0.08
"8787","Voila",73668,23.62,5.93,3.98
"8788","Walmart",43780,27.65,88.3,0.31
"8789","Loblaws",50464,22.51,51.23,0.44
"8790","No Frills",5385,21.37,793.68,0.03
"8791","Loblaws",13363,13.78,450.16,0.03
"8792","Walmart",17829,19.44,778.86,0.02
"8793","Galleria",41854,14.49,926.79,0.02
"8794","Loblaws",48353,5.62,172.93,0.03
"8795","Loblaws",18787,31,260.92,0.12
"8796","T&T",36852,34.26,323.08,0.11
"8797","Metro",6909,48.05,866.87,0.06
"8798","Loblaws",67753,29.5,262.88,0.11
"8799","Loblaws",25472,25.1,73.46,0.34
"8800","Galleria",11588,13.7,386.57,0.04
"8801","Galleria",63141,41.59,555.95,0.07
"8802","T&T",23993,8.49,830.29,0.01
"8803","Loblaws",4603,34.29,787.95,0.04
"8804","Loblaws",35394,4.81,987.33,0
"8805","Walmart",51072,1.22,667.05,0
"8806","No Frills",71146,43.75,485.67,0.09
"8807","Loblaws",85428,14.52,896.86,0.02
"8808","Save-On-Foods",5175,13.41,11.93,1.12
"8809","Galleria",69951,18.05,418.79,0.04
"8810","Metro",61053,16.24,454.35,0.04
"8811","Loblaws",18204,43.59,834.58,0.05
"8812","Walmart",49120,36.66,726.81,0.05
"8813","Loblaws",67078,32.94,601.14,0.05
"8814","T&T",35478,19.4,755.52,0.03
"8815","Galleria",41924,43.68,597.06,0.07
"8816","Galleria",279,7.27,658.91,0.01
"8817","T&T",79793,27.44,638.19,0.04
"8818","T&T",82444,17.61,215.17,0.08
"8819","Save-On-Foods",11922,9.97,478.79,0.02
"8820","No Frills",36438,9.87,161.67,0.06
"8821","Loblaws",60315,18.52,15.56,1.19
"8822","No Frills",91486,30.21,697.57,0.04
"8823","T&T",89759,25.71,469.11,0.05
"8824","Loblaws",14463,3.36,316.1,0.01
"8825","Metro",92506,47.79,962.81,0.05
"8826","Galleria",33991,17.61,846.96,0.02
"8827","Metro",14162,14.56,186.45,0.08
"8828","Walmart",87788,34.49,700.95,0.05
"8829","T&T",1011,30.27,266.9,0.11
"8830","No Frills",44365,12.43,414.93,0.03
"8831","Loblaws",82405,14.22,168.84,0.08
"8832","Save-On-Foods",37940,17.23,261.9,0.07
"8833","Metro",49072,24.92,925.11,0.03
"8834","Galleria",43977,23.71,575.84,0.04
"8835","Loblaws",63715,14.19,247.2,0.06
"8836","T&T",71126,29.75,895.47,0.03
"8837","T&T",31734,41.32,256.71,0.16
"8838","No Frills",79033,39.86,179.55,0.22
"8839","Walmart",18591,22.36,344.25,0.06
"8840","Walmart",31674,21.97,914.87,0.02
"8841","Loblaws",93513,31.21,580.94,0.05
"8842","T&T",73333,41.83,917.18,0.05
"8843","Voila",6587,8.84,532.8,0.02
"8844","Save-On-Foods",25806,8.76,824.35,0.01
"8845","Loblaws",38965,44.65,617.56,0.07
"8846","Loblaws",56311,30.03,11.77,2.55
"8847","T&T",5264,18.96,825.4,0.02
"8848","Loblaws",41709,7.52,647.78,0.01
"8849","T&T",50880,47.06,983.17,0.05
"8850","Metro",46737,0.86,552.77,0
"8851","Metro",7989,6.3,313.88,0.02
"8852","No Frills",81965,8.32,710.95,0.01
"8853","T&T",78039,18.45,787.65,0.02
"8854","Metro",32426,47.64,561.77,0.08
"8855","Loblaws",86285,0.43,288.38,0
"8856","Metro",94397,35.91,664.98,0.05
"8857","Loblaws",62686,12.72,191.88,0.07
"8858","Walmart",46728,4.99,537.48,0.01
"8859","No Frills",17887,30.49,996.27,0.03
"8860","T&T",1948,35.01,325.91,0.11
"8861","Save-On-Foods",12981,25.69,636.88,0.04
"8862","Voila",16211,7.61,136.32,0.06
"8863","Galleria",11428,39.36,902.28,0.04
"8864","Save-On-Foods",75161,2.76,388.79,0.01
"8865","Save-On-Foods",39768,3.29,715.96,0
"8866","Loblaws",2261,9.81,207.26,0.05
"8867","Metro",76454,30.93,104.01,0.3
"8868","Walmart",4465,48.64,946.84,0.05
"8869","No Frills",40267,46.92,364.64,0.13
"8870","T&T",88042,4.16,1.75,2.38
"8871","Save-On-Foods",2316,19.99,805.31,0.02
"8872","Save-On-Foods",37526,20.04,363.42,0.06
"8873","Walmart",18172,29.57,470.77,0.06
"8874","Walmart",53309,11.97,316.64,0.04
"8875","T&T",78562,18.26,998.16,0.02
"8876","Galleria",10882,17.46,882.95,0.02
"8877","T&T",52839,18.48,884.04,0.02
"8878","Metro",75836,11.29,157.49,0.07
"8879","Walmart",85952,40.45,279.45,0.14
"8880","No Frills",81546,44.05,362.64,0.12
"8881","Galleria",17293,28.32,748.9,0.04
"8882","Galleria",99615,36.09,286.53,0.13
"8883","T&T",27594,44.37,112.52,0.39
"8884","Walmart",21907,11.19,113.77,0.1
"8885","Metro",62510,20.41,225.28,0.09
"8886","Metro",21420,22.6,296.91,0.08
"8887","Save-On-Foods",16147,29.79,285.31,0.1
"8888","Save-On-Foods",16151,13.78,108.35,0.13
"8889","Loblaws",60658,41.52,955.93,0.04
"8890","Galleria",54744,48.91,524.09,0.09
"8891","Walmart",83825,15.09,520.36,0.03
"8892","Galleria",3722,12.25,916.85,0.01
"8893","No Frills",41932,36.02,287.17,0.13
"8894","Loblaws",73877,39.19,746.8,0.05
"8895","T&T",62032,44.77,504.32,0.09
"8896","T&T",61673,10.88,35.49,0.31
"8897","T&T",9893,6.27,897.14,0.01
"8898","Loblaws",18873,15.29,520.93,0.03
"8899","Voila",12791,30.26,226.65,0.13
"8900","Loblaws",53227,34.35,34.59,0.99
"8901","No Frills",94858,44.14,914.95,0.05
"8902","Save-On-Foods",4280,16.57,66.33,0.25
"8903","Walmart",51432,40.8,624.09,0.07
"8904","No Frills",80710,34.37,4.23,8.13
"8905","Loblaws",93743,41,759.67,0.05
"8906","Save-On-Foods",66628,16.84,775.91,0.02
"8907","No Frills",23760,12.16,631.74,0.02
"8908","No Frills",44609,6.17,575.21,0.01
"8909","Metro",21231,22.93,258.78,0.09
"8910","T&T",31292,12.35,117.95,0.1
"8911","Voila",26710,48.74,788.67,0.06
"8912","Walmart",78024,1.99,831.13,0
"8913","Walmart",139,4.43,722.88,0.01
"8914","T&T",37514,39.48,579.4,0.07
"8915","Voila",77122,39.02,38.72,1.01
"8916","Galleria",12335,2.71,479.82,0.01
"8917","Walmart",32216,4.38,265.64,0.02
"8918","Voila",59859,41.97,574.36,0.07
"8919","Loblaws",94553,14.94,897.39,0.02
"8920","No Frills",77328,5.15,150.76,0.03
"8921","Metro",28880,34.73,93.42,0.37
"8922","No Frills",50993,38.84,629.75,0.06
"8923","Walmart",10668,22.58,602.84,0.04
"8924","Galleria",86344,33.97,46.29,0.73
"8925","T&T",84203,49.24,600.9,0.08
"8926","Voila",9657,20.13,821.97,0.02
"8927","No Frills",67751,31.52,266.62,0.12
"8928","Galleria",94748,36.02,856.72,0.04
"8929","T&T",83123,4.92,98.17,0.05
"8930","Walmart",86999,19.51,885.1,0.02
"8931","Loblaws",18363,45.63,129.3,0.35
"8932","Walmart",25356,47,311.89,0.15
"8933","Voila",40875,48.23,106.38,0.45
"8934","T&T",56173,29.79,981.46,0.03
"8935","Galleria",83241,46.95,244.73,0.19
"8936","Voila",82280,39.59,671.85,0.06
"8937","Loblaws",67071,1.92,72.16,0.03
"8938","Save-On-Foods",32851,20.74,850.44,0.02
"8939","T&T",67940,8.93,903.3,0.01
"8940","Loblaws",69599,25.5,709.69,0.04
"8941","Save-On-Foods",3488,25.6,940.83,0.03
"8942","Save-On-Foods",35305,30.02,510.4,0.06
"8943","Walmart",96133,31.77,944.36,0.03
"8944","Save-On-Foods",78336,2.49,592.92,0
"8945","Metro",77936,20.81,879.5,0.02
"8946","Save-On-Foods",1228,37.44,11.54,3.24
"8947","Metro",69284,35.94,453.3,0.08
"8948","Save-On-Foods",69843,17.43,827.19,0.02
"8949","Save-On-Foods",7915,22.18,791.13,0.03
"8950","Voila",91224,14.83,384.56,0.04
"8951","Galleria",51564,40.17,151.17,0.27
"8952","T&T",10897,42.87,395.26,0.11
"8953","Galleria",73065,26.36,614.23,0.04
"8954","Save-On-Foods",77183,29.37,868.12,0.03
"8955","T&T",99151,35.17,192.87,0.18
"8956","Loblaws",69776,12.29,456.65,0.03
"8957","Voila",50148,37.38,114.2,0.33
"8958","Loblaws",3314,45.1,560.92,0.08
"8959","Galleria",16946,9.69,713.84,0.01
"8960","Loblaws",25068,48.46,251.54,0.19
"8961","Metro",80041,5.66,37.75,0.15
"8962","Galleria",83534,36.97,860.65,0.04
"8963","T&T",66179,44.06,508.15,0.09
"8964","Voila",95249,6.25,331.49,0.02
"8965","Metro",35403,7.21,836.54,0.01
"8966","Walmart",36703,12.21,703.96,0.02
"8967","Galleria",30235,3.87,546.26,0.01
"8968","Galleria",75265,36.33,40.83,0.89
"8969","Voila",58860,41.52,811.53,0.05
"8970","Galleria",2789,44.2,219.08,0.2
"8971","Loblaws",62975,34.15,708.04,0.05
"8972","Loblaws",30459,17.66,888.34,0.02
"8973","Save-On-Foods",73390,42.21,829.75,0.05
"8974","T&T",88271,35.04,125.07,0.28
"8975","Loblaws",53358,16.67,331.8,0.05
"8976","T&T",96598,23.9,609.88,0.04
"8977","Metro",83815,45.14,483.47,0.09
"8978","Voila",15284,23.64,103.9,0.23
"8979","T&T",50485,46.96,159.52,0.29
"8980","Loblaws",68798,34.35,632.86,0.05
"8981","Loblaws",28522,28.53,326.71,0.09
"8982","Loblaws",34496,21.23,677.5,0.03
"8983","Walmart",1394,21.53,80.9,0.27
"8984","No Frills",53770,28.23,801.18,0.04
"8985","Voila",67625,24.37,190.73,0.13
"8986","Galleria",7256,41.42,531.59,0.08
"8987","T&T",32859,17.7,938.17,0.02
"8988","Save-On-Foods",30376,19.71,131.47,0.15
"8989","Loblaws",9591,46.93,580.16,0.08
"8990","Metro",14829,3.33,229.44,0.01
"8991","Loblaws",10242,13.29,156.09,0.09
"8992","Loblaws",72166,22.3,802.46,0.03
"8993","T&T",59053,47.96,225.24,0.21
"8994","Voila",21347,1.49,500.28,0
"8995","Loblaws",43681,45.35,468.9,0.1
"8996","Galleria",78360,29.35,352.88,0.08
"8997","Voila",69127,29.17,722.29,0.04
"8998","Voila",82544,6.66,294.73,0.02
"8999","Loblaws",63918,46.47,174.15,0.27
"9000","Walmart",59067,4.97,793.17,0.01
"9001","Voila",94128,33.12,58.52,0.57
"9002","Loblaws",74767,8.52,210.05,0.04
"9003","Loblaws",88056,24.32,280.26,0.09
"9004","T&T",80396,44.19,525.68,0.08
"9005","Loblaws",36477,39.35,538.78,0.07
"9006","Save-On-Foods",40653,24.55,898,0.03
"9007","T&T",11957,49.56,827.6,0.06
"9008","Save-On-Foods",40538,18.55,121.46,0.15
"9009","T&T",72869,40.91,278.79,0.15
"9010","Voila",96702,47.01,214.11,0.22
"9011","Metro",13054,45.36,145.63,0.31
"9012","Galleria",27272,3.67,391.47,0.01
"9013","Voila",46635,49.39,412.72,0.12
"9014","Save-On-Foods",97065,7.77,691.2,0.01
"9015","No Frills",43478,5.28,813.91,0.01
"9016","Loblaws",7385,45.93,146.65,0.31
"9017","Loblaws",66347,41.88,351.16,0.12
"9018","Loblaws",55918,49.31,743.99,0.07
"9019","Galleria",92129,35.91,635.32,0.06
"9020","T&T",4542,48.99,51.17,0.96
"9021","T&T",40332,23.98,992.4,0.02
"9022","No Frills",93260,32.27,871.28,0.04
"9023","Metro",77463,36.38,2.68,13.57
"9024","Walmart",60812,14.46,959.94,0.02
"9025","Voila",81429,6.74,717.32,0.01
"9026","Voila",19142,14.5,428.37,0.03
"9027","Galleria",40308,7.53,281.81,0.03
"9028","T&T",77048,25.42,834.81,0.03
